id,text,source,category
1,This product is absolutely amazing! I love everything about it.,Survey,Product
2,The service was terrible and the staff was very rude.,Survey,Marketing
3,"Average product, nothing special but gets the job done.",Chat,Marketing
4,Outstanding quality and excellent customer support. Highly recommended!,Social Media,Marketing
5,Disappointed with the purchase. Expected much better quality.,Survey,Marketing
6,Good value for money. Would buy again.,Email,Product
7,The delivery was fast but the product quality is questionable.,Chat,Marketing
8,Exceptional experience from start to finish!,Social Media,Marketing
9,Not worth the price. Found better alternatives elsewhere.,Chat,General
10,Perfect for my needs. Exactly what I was looking for.,Chat,General
11,Machine learning and artificial intelligence are transforming business operations.,Chat,Product
12,Data analytics provides valuable insights for strategic decision making.,Chat,Product
13,Customer satisfaction scores have improved significantly this quarter.,Email,Marketing
14,The new marketing campaign generated substantial lead growth.,Review,Service
15,Operational efficiency metrics show positive trends across all departments.,Chat,General
